02:07:52: Edge Data
02:07:52: ---------
02:07:52: Triangle 0 = {indexSet=0, vertexSet=0, v0=0, v1=1, v2=2}
02:07:52: Triangle 1 = {indexSet=0, vertexSet=0, v0=0, v1=2, v2=3}
02:07:52: Triangle 2 = {indexSet=0, vertexSet=0, v0=4, v1=5, v2=6}
02:07:52: Triangle 3 = {indexSet=0, vertexSet=0, v0=4, v1=6, v2=7}
02:07:52: Triangle 4 = {indexSet=0, vertexSet=0, v0=8, v1=9, v2=10}
02:07:52: Triangle 5 = {indexSet=0, vertexSet=0, v0=8, v1=10, v2=11}
02:07:52: Triangle 6 = {indexSet=0, vertexSet=0, v0=12, v1=13, v2=14}
02:07:52: Triangle 7 = {indexSet=0, vertexSet=0, v0=12, v1=14, v2=15}
02:07:52: Triangle 8 = {indexSet=0, vertexSet=0, v0=16, v1=17, v2=18}
02:07:52: Triangle 9 = {indexSet=0, vertexSet=0, v0=16, v1=18, v2=19}
02:07:52: Triangle 10 = {indexSet=0, vertexSet=0, v0=20, v1=21, v2=22}
02:07:52: Triangle 11 = {indexSet=0, vertexSet=0, v0=20, v1=22, v2=23}
02:07:52: Triangle 12 = {indexSet=0, vertexSet=0, v0=24, v1=25, v2=26}
02:07:52: Triangle 13 = {indexSet=0, vertexSet=0, v0=24, v1=26, v2=27}
02:07:52: Triangle 14 = {indexSet=0, vertexSet=0, v0=28, v1=29, v2=30}
02:07:52: Triangle 15 = {indexSet=0, vertexSet=0, v0=28, v1=30, v2=31}
02:07:52: Triangle 16 = {indexSet=0, vertexSet=0, v0=32, v1=33, v2=34}
02:07:52: Triangle 17 = {indexSet=0, vertexSet=0, v0=32, v1=34, v2=35}
02:07:52: Triangle 18 = {indexSet=0, vertexSet=0, v0=36, v1=37, v2=38}
02:07:52: Triangle 19 = {indexSet=0, vertexSet=0, v0=36, v1=38, v2=39}
02:07:52: Triangle 20 = {indexSet=0, vertexSet=0, v0=40, v1=41, v2=42}
02:07:52: Triangle 21 = {indexSet=0, vertexSet=0, v0=40, v1=42, v2=43}
02:07:52: Triangle 22 = {indexSet=0, vertexSet=0, v0=44, v1=45, v2=46}
02:07:52: Triangle 23 = {indexSet=0, vertexSet=0, v0=44, v1=46, v2=47}
02:07:52: Triangle 24 = {indexSet=0, vertexSet=0, v0=48, v1=49, v2=50}
02:07:52: Triangle 25 = {indexSet=0, vertexSet=0, v0=48, v1=50, v2=51}
02:07:52: Triangle 26 = {indexSet=0, vertexSet=0, v0=52, v1=53, v2=54}
02:07:52: Triangle 27 = {indexSet=0, vertexSet=0, v0=52, v1=54, v2=55}
02:07:52: Triangle 28 = {indexSet=0, vertexSet=0, v0=56, v1=57, v2=58}
02:07:52: Triangle 29 = {indexSet=0, vertexSet=0, v0=56, v1=58, v2=59}
02:07:52: Triangle 30 = {indexSet=0, vertexSet=0, v0=60, v1=61, v2=62}
02:07:52: Triangle 31 = {indexSet=0, vertexSet=0, v0=60, v1=62, v2=63}
02:07:52: Triangle 32 = {indexSet=0, vertexSet=0, v0=64, v1=65, v2=66}
02:07:52: Triangle 33 = {indexSet=0, vertexSet=0, v0=64, v1=66, v2=67}
02:07:52: Triangle 34 = {indexSet=0, vertexSet=0, v0=68, v1=69, v2=70}
02:07:52: Triangle 35 = {indexSet=0, vertexSet=0, v0=68, v1=70, v2=71}
02:07:52: Triangle 36 = {indexSet=0, vertexSet=0, v0=72, v1=73, v2=74}
02:07:52: Triangle 37 = {indexSet=0, vertexSet=0, v0=72, v1=74, v2=75}
02:07:52: Triangle 38 = {indexSet=0, vertexSet=0, v0=76, v1=77, v2=78}
02:07:52: Triangle 39 = {indexSet=0, vertexSet=0, v0=76, v1=78, v2=79}
02:07:52: Triangle 40 = {indexSet=0, vertexSet=0, v0=80, v1=81, v2=82}
02:07:52: Triangle 41 = {indexSet=0, vertexSet=0, v0=80, v1=82, v2=83}
02:07:52: Triangle 42 = {indexSet=0, vertexSet=0, v0=84, v1=85, v2=86}
02:07:52: Triangle 43 = {indexSet=0, vertexSet=0, v0=84, v1=86, v2=87}
02:07:52: Triangle 44 = {indexSet=0, vertexSet=0, v0=88, v1=89, v2=90}
02:07:52: Triangle 45 = {indexSet=0, vertexSet=0, v0=88, v1=90, v2=91}
02:07:52: Triangle 46 = {indexSet=0, vertexSet=0, v0=92, v1=93, v2=94}
02:07:52: Triangle 47 = {indexSet=0, vertexSet=0, v0=92, v1=94, v2=95}
02:07:52: Triangle 48 = {indexSet=0, vertexSet=0, v0=96, v1=97, v2=98}
02:07:52: Triangle 49 = {indexSet=0, vertexSet=0, v0=96, v1=98, v2=99}
02:07:52: Triangle 50 = {indexSet=0, vertexSet=0, v0=100, v1=101, v2=102}
02:07:52: Triangle 51 = {indexSet=0, vertexSet=0, v0=100, v1=102, v2=103}
02:07:52: Triangle 52 = {indexSet=0, vertexSet=0, v0=104, v1=105, v2=106}
02:07:52: Triangle 53 = {indexSet=0, vertexSet=0, v0=104, v1=106, v2=107}
02:07:52: Triangle 54 = {indexSet=0, vertexSet=0, v0=112, v1=113, v2=114}
02:07:52: Triangle 55 = {indexSet=0, vertexSet=0, v0=112, v1=114, v2=115}
02:07:52: Triangle 56 = {indexSet=0, vertexSet=0, v0=116, v1=117, v2=118}
02:07:52: Triangle 57 = {indexSet=0, vertexSet=0, v0=116, v1=118, v2=119}
02:07:52: Triangle 58 = {indexSet=0, vertexSet=0, v0=128, v1=129, v2=130}
02:07:52: Triangle 59 = {indexSet=0, vertexSet=0, v0=128, v1=130, v2=131}
02:07:52: Triangle 60 = {indexSet=0, vertexSet=0, v0=132, v1=133, v2=134}
02:07:52: Triangle 61 = {indexSet=0, vertexSet=0, v0=132, v1=134, v2=135}
02:07:52: Triangle 62 = {indexSet=0, vertexSet=0, v0=144, v1=145, v2=146}
02:07:52: Triangle 63 = {indexSet=0, vertexSet=0, v0=144, v1=146, v2=147}
02:07:52: Triangle 64 = {indexSet=0, vertexSet=0, v0=148, v1=149, v2=150}
02:07:52: Triangle 65 = {indexSet=0, vertexSet=0, v0=148, v1=150, v2=151}
02:07:52: Triangle 66 = {indexSet=0, vertexSet=0, v0=152, v1=153, v2=154}
02:07:52: Triangle 67 = {indexSet=0, vertexSet=0, v0=152, v1=154, v2=155}
02:07:52: Triangle 68 = {indexSet=0, vertexSet=0, v0=156, v1=157, v2=158}
02:07:52: Triangle 69 = {indexSet=0, vertexSet=0, v0=156, v1=158, v2=159}
02:07:52: Triangle 70 = {indexSet=0, vertexSet=0, v0=160, v1=161, v2=162}
02:07:52: Triangle 71 = {indexSet=0, vertexSet=0, v0=160, v1=162, v2=163}
